,0
number of cars in jordan,0.5499694275634883
failure rate,0.472183367189666
made in=2,0.12559397556733082
price of the car,0.09469184080076985
service location (repair shop/automotive company=1,0.08955973739086774
service location (repair shop/automotive company=2,0.07972218781535385
new\used=1,0.07869704027361375
new\used=0,0.07178447167489925
car type=1,0.07097569058849439
made in=3,0.06619122476723226
repair or replacement cost,0.0425952976933237
selling location=2,0.03810809762512247
car type=4,0.03580370597809299
selling location=3,0.034243545057177145
car total maintenance cost average,0.029237789024082722
car age,0.028568645621697412
car type=3,0.02411479214105722
car type=2,0.022637837345731705
selling location=1,0.020111129540552438
critically,0.019307841938235874
